id,value
1,
2,
3,
4,
5,Founder
6,Marketing
7,
8,
9,Sales
10,
11,
12,
13,
14,Marketing
15,Founder
16,HR
17,
18,
19,
20,Marketing
21,
22,
23,
24,HR
25,
26,Marketing
27,
28,Sales
29,
30,
31,HR
32,
33,
34,
35,
36,
37,
38,
39,
40,Founder
41,
42,
43,
44,Founder
45,Sales
46,
47,
48,Product
49,Founder
50,
51,
52,Sales
53,Sales
54,
55,Sales
56,
57,Founder
58,
59,
60,Founder
61,
62,Marketing
63,
64,
65,HR
66,
67,
68,
69,
70,Sales
71,HR
72,HR
73,
74,Founder
75,
76,
77,Marketing
78,
79,HR
80,
81,Founder
82,
83,
84,
85,
86,
87,Sales
88,Marketing
89,Founder
90,Developer
91,Founder
92,
93,Founder
94,
95,
96,Developer
97,Content
98,
99,
100,
101,
102,
103,
104,
105,Founder
106,Founder
107,
108,
109,
110,Founder
111,Product
112,
113,
114,HR
115,
116,
117,Developer
118,Founder
119,
120,
121,Founder
122,Marketing
123,
124,Founder
125,Developer
126,Founder
127,Marketing
128,
129,
130,Marketing
131,
132,Founder
133,
134,Student
135,
136,
137,
138,Founder
139,
140,Marketing
141,
142,Sales
143,Founder
144,Sales
145,
146,
147,Founder
148,Marketing
149,
150,Marketing
151,
152,HR
153,
154,Sales
155,
156,
157,Sales
158,
159,
160,Developer
161,
162,Founder
163,Founder
164,Data/Analytics
165,Founder
166,
167,Founder
168,
169,Founder
170,Founder
171,Finance
172,Founder
173,
174,Product
175,
176,Founder
177,
178,Founder
179,Marketing
180,
181,HR
182,
183,Marketing
184,
185,Marketing
186,HR
187,Sales
188,Founder
189,Founder
190,
191,
192,
193,Founder
194,
195,
196,
197,
198,Founder
199,
200,
201,Marketing
202,Marketing
203,Founder
204,
205,
206,Marketing
207,Marketing
208,
209,Developer
210,
211,Founder
212,
213,Marketing
214,
215,Student
216,Marketing
217,Founder
218,
219,Student
220,
221,Product
222,
223,
224,Product
225,
226,Finance
227,Marketing
228,Product
229,Marketing
230,Product
231,
232,Founder
233,
234,Product
235,Product
236,Product
237,
238,
239,
240,
241,Founder
242,
243,
244,Marketing
245,HR
246,
247,
248,
249,
250,Founder
251,HR
252,Founder
253,
254,
255,Marketing
256,Developer
257,
258,
259,Content
260,
261,
262,
263,
264,Founder
265,Sales
266,Founder
267,Marketing
268,
269,
270,
271,
272,
273,Marketing
274,Sales
275,
276,
277,Marketing
278,
279,
280,Marketing
281,Marketing
282,Founder
283,Founder
284,Finance
285,
286,
287,Founder
288,Developer
289,
290,Founder
291,HR
292,Founder
293,
294,
295,Student
296,
297,
298,
299,
300,
301,Marketing
302,
303,
304,Founder
305,
306,
307,
308,
309,
310,
311,Founder
312,
313,Product
314,
315,
316,Founder
317,
318,
319,
320,
321,
322,
323,Founder
324,Finance
325,
326,
327,
328,
329,
330,
331,
332,
333,
334,Sales
335,
336,Founder
337,
338,
339,
340,Content
341,Founder
342,
343,Founder
344,
345,Marketing
346,Marketing
347,Marketing
348,Founder
349,Founder
350,Marketing
351,Founder
352,Sales
353,Founder
354,
355,
356,Founder
357,Marketing
358,Product
359,
360,Marketing
361,Sales
362,
363,Founder
364,
365,
366,
367,
368,Marketing
369,Founder
370,
371,
372,
373,
374,HR
375,Founder
376,Founder
377,Student
378,Developer
379,Founder
380,Developer
381,Founder
382,Marketing
383,
384,Operations
385,Founder
386,
387,
388,
389,Sales
390,
391,
392,Marketing
393,
394,HR
395,Sales
396,
397,
398,
399,
400,
401,
402,
403,Founder
404,
405,Founder
406,
407,Marketing
408,
409,
410,Founder
411,
